ID,中文名,英文名,預計圖片檔名,異圖檔名建議(放R2)
257,Oriental honey-buzzard,Oriental Honey-Buzzard,0257.avif,0257_UR.avif
258,黑冠鵑隼,Black Baza,0258.avif,0258_UR.avif
259,禿鷲,Cinereous Vulture,0259.avif,0259_UR.avif
260,蛇鵰,Crested Serpent-Eagle,0260.avif,0260_UR.avif
261,烏鵰,Greater Spotted Eagle,0261.avif,0261_UR.avif
262,白肩鵰,Imperial Eagle,0262.avif,0262_UR.avif
263,Bonelli's eagle,Aquila Fasciata,0263.avif,0263_UR.avif
264,白腹鷂,Eastern Marsh-Harrier,0264.avif,0264_UR.avif
265,Hen harrier,Hen Harrier,0265.avif,0265_UR.avif
266,鵲鷂,Pied Harrier,0266.avif,0266_UR.avif
267,鳳頭鷹,Crested Goshawk,0267.avif,0267_UR.avif
268,赤腹鷹,Chinese Sparrowhawk,0268.avif,0268_UR.avif
269,日本松雀鷹,Japanese Sparrowhawk,0269.avif,0269_UR.avif
270,松雀鷹,Besra,0270.avif,0270_UR.avif
271,雀鷹,Eurasian Sparrowhawk,0271.avif,0271_UR.avif
272,蒼鷹,Northern Goshawk,0272.avif,0272_UR.avif
273,栗鳶,Brahminy Kite,0273.avif,0273_UR.avif
274,白腹海鵰,White-Bellied Sea-Eagle,0274.avif,0274_UR.avif
275,普通鵟,Common Buzzard,0275.avif,0275_UR.avif
276,Australasian grass-owl,Australasian Grass-Owl,0276.avif,0276_UR.avif
277,Collared scops-owl,Collared Scops-Owl,0277.avif,0277_UR.avif
278,Sunda scops-owl,Sunda Scops-Owl,0278.avif,0278_UR.avif
279,紅角鴞,Oriental Scops-Owl,0279.avif,0279_UR.avif
280,Mountain scops owl,Mountain Scops Owl,0280.avif,0280_UR.avif
281,鵰鴞,Eurasian Eagle-Owl,0281.avif,0281_UR.avif
282,褐魚鴞,Brown Fish-Owl,0282.avif,0282_UR.avif
283,斑頭鵂鶹,Asian Barred Owlet,0283.avif,0283_UR.avif
284,Collared owlet,Collared Owlet,0284.avif,0284_UR.avif
285,褐林鴞,Brown Wood-Owl,0285.avif,0285_UR.avif
286,短耳鴞,Short-Eared Owl,0286.avif,0286_UR.avif
287,鷹鴞,Brown Boobook,0287.avif,0287_UR.avif
288,戴勝,Eurasian Hoopoe,0288.avif,0288_UR.avif
289,普通翠鳥,Common Kingfisher,0289.avif,0289_UR.avif
290,Black-backed dwarf-kingfisher,Black-Backed Dwarf-Kingfisher,0290.avif,0290_UR.avif
291,赤翡翠,Ruddy Kingfisher,0291.avif,0291_UR.avif
292,白胸翡翠,White-Throated Kingfisher,0292.avif,0292_UR.avif
293,藍翡翠,Black-Capped Kingfisher,0293.avif,0293_UR.avif
294,白領翡翠,Collared Kingfisher,0294.avif,0294_UR.avif
295,斑魚狗,Pied Kingfisher,0295.avif,0295_UR.avif
296,藍喉蜂虎,Blue-Throated Bee-Eater,0296.avif,0296_UR.avif
297,栗喉蜂虎,Blue-Tailed Bee-Eater,0297.avif,0297_UR.avif
298,藍胸佛法僧,European Roller,0298.avif,0298_UR.avif
299,三寶鳥,Dollarbird,0299.avif,0299_UR.avif
300,大擬鴷,Great Barbet,0300.avif,0300_UR.avif
301,Chinese barbet,Chinese Barbet,0301.avif,0301_UR.avif
302,蟻鴷,Eurasian Wryneck,0302.avif,0302_UR.avif
303,斑姬啄木鳥,Speckled Piculet,0303.avif,0303_UR.avif
304,棕腹啄木鳥,Rufous-Bellied Woodpecker,0304.avif,0304_UR.avif
305,黃嘴栗啄木鳥,Bay Woodpecker,0305.avif,0305_UR.avif
306,栗啄木鳥,Rufous Woodpecker,0306.avif,0306_UR.avif
307,灰頭綠啄木鳥,Gray-Headed Woodpecker,0307.avif,0307_UR.avif
308,紅隼,Eurasian Kestrel,0308.avif,0308_UR.avif
309,Amur falcon,Amur Falcon,0309.avif,0309_UR.avif
310,燕隼,Eurasian Hobby,0310.avif,0310_UR.avif
311,遊隼,Peregrine Falcon,0311.avif,0311_UR.avif
312,Alexandrine parakeet,Alexandrine Parakeet,0312.avif,0312_UR.avif
313,紅領綠鸚鵡,Rose-Ringed Parakeet,0313.avif,0313_UR.avif
314,藍翅八色鶇,Blue-Winged Pitta,0314.avif,0314_UR.avif
315,仙八色鶇,Fairy Pitta,0315.avif,0315_UR.avif
316,灰喉山椒鳥,Gray-Chinned Minivet,0316.avif,0316_UR.avif
317,Scarlet minivet,Scarlet Minivet,0317.avif,0317_UR.avif
318,Ryukyu minivet,Ryukyu Minivet,0318.avif,0318_UR.avif
319,灰山椒鳥,Ashy Minivet,0319.avif,0319_UR.avif
320,小灰山椒鳥,Brown-Rumped Minivet,0320.avif,0320_UR.avif
321,粉紅椋鳥,Rosy Minivet,0321.avif,0321_UR.avif
322,暗灰鵑鵙,Black-Winged Cuckooshrike,0322.avif,0322_UR.avif
323,白腹鳳鶥,White-Bellied Erpornis,0323.avif,0323_UR.avif
324,黑枕黃鸝,Black-Naped Oriole,0324.avif,0324_UR.avif
325,Maroon oriole,Maroon Oriole,0325.avif,0325_UR.avif
326,Silver oriole,Silver Oriole,0326.avif,0326_UR.avif
327,黑卷尾,Black Drongo,0327.avif,0327_UR.avif
328,灰卷尾,Ashy Drongo,0328.avif,0328_UR.avif
329,Crow-billed drongo,Crow-Billed Drongo,0329.avif,0329_UR.avif
330,髮冠卷尾,Hair-Crested Drongo,0330.avif,0330_UR.avif
331,黑枕王鶲,Black-Naped Monarch,0331.avif,0331_UR.avif
332,紫壽帶,Japanese Paradise-Flycatcher,0332.avif,0332_UR.avif
333,Amur paradise-flycatcher,Amur Paradise-Flycatcher,0333.avif,0333_UR.avif
334,虎紋伯勞,Tiger Shrike,0334.avif,0334_UR.avif
335,牛頭伯勞,Bull-Headed Shrike,0335.avif,0335_UR.avif
336,紅背伯勞,Red-Backed Shrike,0336.avif,0336_UR.avif
337,紅尾伯勞,Brown Shrike,0337.avif,0337_UR.avif
338,棕背伯勞,Long-Tailed Shrike,0338.avif,0338_UR.avif
339,Gray-backed shrike,Gray-Backed Shrike,0339.avif,0339_UR.avif
340,Chinese gray shrike,Chinese Gray Shrike,0340.avif,0340_UR.avif
341,松鴉,Eurasian Jay,0341.avif,0341_UR.avif
342,Azure-winged magpie,Azure-Winged Magpie,0342.avif,0342_UR.avif
343,Indochinese green-magpie,Indochinese Green-Magpie,0343.avif,0343_UR.avif
344,Oriental magpie,Oriental Magpie,0344.avif,0344_UR.avif
345,達烏里寒鴉,Daurian Jackdaw,0345.avif,0345_UR.avif
346,House crow,House Crow,0346.avif,0346_UR.avif
347,Rook,Rook,0347.avif,0347_UR.avif
348,小嘴烏鴉,Carrion Crow,0348.avif,0348_UR.avif
349,大嘴烏鴉,Large-Billed Crow,0349.avif,0349_UR.avif
350,白頸鴉,Collared Crow,0350.avif,0350_UR.avif
351,方尾鶲,Gray-Headed Canary-Flycatcher,0351.avif,0351_UR.avif
352,Fire-capped tit,Fire-Capped Tit,0352.avif,0352_UR.avif
353,黃腹山雀,Yellow-Bellied Tit,0353.avif,0353_UR.avif
354,雜色山雀,Varied Tit,0354.avif,0354_UR.avif
355,攀雀,Chinese Penduline-Tit,0355.avif,0355_UR.avif
356,Mongolian short-toed lark,Mongolian Short-Toed Lark,0356.avif,0356_UR.avif
357,雲雀,Eurasian Skylark,0357.avif,0357_UR.avif
358,小雲雀,Oriental Skylark,0358.avif,0358_UR.avif
359,黃腹山鷦鶯,Yellow-Bellied Prinia,0359.avif,0359_UR.avif
360,純色山鷦鶯,Plain Prinia,0360.avif,0360_UR.avif
361,棕扇尾鶯,Zitting Cisticola,0361.avif,0361_UR.avif
362,金頭扇尾鶯,Golden-Headed Cisticola,0362.avif,0362_UR.avif
363,厚嘴葦鶯,Thick-Billed Warbler,0363.avif,0363_UR.avif
364,Booted warbler,Booted Warbler,0364.avif,0364_UR.avif
365,賽氏篱鶯,Iduna Rama,0365.avif,0365_UR.avif
366,黑眉葦鶯,Black-Browed Reed Warbler,0366.avif,0366_UR.avif
367,稻田葦鶯,Paddyfield Warbler,0367.avif,0367_UR.avif
368,鈍翅葦鶯,Blunt-Winged Warbler,0368.avif,0368_UR.avif
369,遠東葦鶯,Manchurian Reed Warbler,0369.avif,0369_UR.avif
370,布氏葦鶯,Acrocephalus Dumetorum,0370.avif,0370_UR.avif
371,東方大葦鶯,Oriental Reed Warbler,0371.avif,0371_UR.avif
372,Gray's grasshopper warbler,Helopsaltes Fasciolatus,0372.avif,0372_UR.avif
373,斑背大尾鶯,Marsh Grassbird,0373.avif,0373_UR.avif
374,小蝗鶯,Helopsaltes Certhiola,0374.avif,0374_UR.avif
375,北蝗鶯,Helopsaltes Ochotensis,0375.avif,0375_UR.avif
376,史氏蝗鶯,Helopsaltes Pleskei,0376.avif,0376_UR.avif
377,矛紋蝗鶯,Lanceolated Warbler,0377.avif,0377_UR.avif
378,棕褐短翅鶯,Brown Bush Warbler,0378.avif,0378_UR.avif
379,Chinese bush warbler,Chinese Bush Warbler,0379.avif,0379_UR.avif
380,北短翅鶯,Baikal Bush Warbler,0380.avif,0380_UR.avif
381,高山短翅鶯,Russet Bush Warbler,0381.avif,0381_UR.avif
382,Benguet bush warbler,Benguet Bush Warbler,0382.avif,0382_UR.avif
383,小鷦鶥,Pygmy Cupwing,0383.avif,0383_UR.avif
384,灰喉沙燕,Gray-Throated Martin,0384.avif,0384_UR.avif
385,Bank swallow,Bank Swallow,0385.avif,0385_UR.avif
386,淡色沙燕,Pale Sand Martin,0386.avif,0386_UR.avif
387,家燕,Barn Swallow,0387.avif,0387_UR.avif
388,金腰燕,Red-Rumped Swallow,0388.avif,0388_UR.avif
389,白腹毛腳燕,Common House-Martin,0389.avif,0389_UR.avif
390,煙腹毛腳燕,Asian House-Martin,0390.avif,0390_UR.avif
391,白喉紅臀鵯,Sooty-Headed Bulbul,0391.avif,0391_UR.avif
392,黑短腳鵯,Black Bulbul,0392.avif,0392_UR.avif
393,Brown-eared bulbul,Brown-Eared Bulbul,0393.avif,0393_UR.avif
394,栗背短腳鵯,Chestnut Bulbul,0394.avif,0394_UR.avif
395,綠翅短腳鵯,Mountain Bulbul,0395.avif,0395_UR.avif
396,Wood warbler,Wood Warbler,0396.avif,0396_UR.avif
397,黃眉柳鶯,Yellow-Browed Warbler,0397.avif,0397_UR.avif
398,淡眉柳鶯,Phylloscopus Humei,0398.avif,0398_UR.avif
399,雲南柳鶯,Chinese Leaf Warbler,0399.avif,0399_UR.avif
400,黃腰柳鶯,Phylloscopus Proregulus,0400.avif,0400_UR.avif
401,巨嘴柳鶯,Phylloscopus Schwarzi,0401.avif,0401_UR.avif
402,棕眉柳鶯,Yellow-Streaked Warbler,0402.avif,0402_UR.avif
403,歐柳鶯,Willow Warbler,0403.avif,0403_UR.avif
404,Mountain chiffchaff,Mountain Chiffchaff,0404.avif,0404_UR.avif
405,嘰喳柳鶯,Common Chiffchaff,0405.avif,0405_UR.avif
406,冕柳鶯,Eastern Crowned Warbler,0406.avif,0406_UR.avif
407,Ijima's leaf warbler,Phylloscopus Ijimae,0407.avif,0407_UR.avif
408,灰冠鶲鶯,Gray-Crowned Warbler,0408.avif,0408_UR.avif
409,比氏鶲鶯,Phylloscopus Valentini,0409.avif,0409_UR.avif
410,Martens's warbler,Phylloscopus Omeiensis,0410.avif,0410_UR.avif
411,純色尾鶲鶯,Phylloscopus Soror,0411.avif,0411_UR.avif
412,暗綠柳鶯,Greenish Warbler,0412.avif,0412_UR.avif
413,Emei leaf warbler,Emei Leaf Warbler,0413.avif,0413_UR.avif
414,淡腳柳鶯,Pale-Legged Leaf Warbler,0414.avif,0414_UR.avif
415,日本淡腳柳鶯,Sakhalin Leaf Warbler,0415.avif,0415_UR.avif
416,Japanese leaf warbler,Japanese Leaf Warbler,0416.avif,0416_UR.avif
417,極北柳鶯,Arctic Warbler,0417.avif,0417_UR.avif
418,栗耳鳳鶥,Chestnut-Crowned Warbler,0418.avif,0418_UR.avif
419,黑眉柳鶯,Sulphur-Breasted Warbler,0419.avif,0419_UR.avif
420,Claudia's leaf warbler,Phylloscopus Claudiae,0420.avif,0420_UR.avif
421,Hartert's leaf warbler,Phylloscopus Goodsoni,0421.avif,0421_UR.avif
422,Kloss's leaf warbler,Phylloscopus Ogilviegranti,0422.avif,0422_UR.avif
423,淡腳樹鶯,Pale-Footed Bush Warbler,0423.avif,0423_UR.avif
424,鱗頭樹鶯,Asian Stubtail,0424.avif,0424_UR.avif
425,棕臉鶲鶯,Rufous-Faced Warbler,0425.avif,0425_UR.avif
426,栗頭縫葉鶯,Mountain Tailorbird,0426.avif,0426_UR.avif
427,遠東樹鶯,Manchurian Bush Warbler,0427.avif,0427_UR.avif
428,強腳樹鶯,Brownish-Flanked Bush Warbler,0428.avif,0428_UR.avif
429,Black-throated tit,Black-Throated Tit,0429.avif,0429_UR.avif
430,白喉林鶯,Lesser Whitethroat,0430.avif,0430_UR.avif
431,Spot-breasted parrotbill,Spot-Breasted Parrotbill,0431.avif,0431_UR.avif
432,Vinous-throated parrotbill,Vinous-Throated Parrotbill,0432.avif,0432_UR.avif
433,Indochinese yuhina,Indochinese Yuhina,0433.avif,0433_UR.avif
434,Black-chinned yuhina,Black-Chinned Yuhina,0434.avif,0434_UR.avif
435,紅脇繡眼鳥,Chestnut-Flanked White-Eye,0435.avif,0435_UR.avif
436,Swinhoe's white-eye,Zosterops Simplex,0436.avif,0436_UR.avif
437,紅頭穗鶥,Rufous-Capped Babbler,0437.avif,0437_UR.avif
438,棕頸鈎嘴鶥,Streak-Breasted Scimitar-Babbler,0438.avif,0438_UR.avif
439,綠鷺,Chinese Grassbird,0439.avif,0439_UR.avif
440,黑眉雀鶥,Alcippe Hueti,0440.avif,0440_UR.avif
441,藍翅希鶥,Blue-Winged Minla,0441.avif,0441_UR.avif
442,紅嘴相思鳥,Red-Billed Leiothrix,0442.avif,0442_UR.avif
443,銀耳相思鳥,Silver-Eared Mesia,0443.avif,0443_UR.avif
444,白頰噪鶥,White-Browed Laughingthrush,0444.avif,0444_UR.avif
445,黑臉噪鶥,Masked Laughingthrush,0445.avif,0445_UR.avif
446,黑領噪鶥,Greater Necklaced Laughingthrush,0446.avif,0446_UR.avif
447,矛紋草鶥,Chinese Babax,0447.avif,0447_UR.avif
448,絨額鳾,Velvet-Fronted Nuthatch,0448.avif,0448_UR.avif
449,紫翅椋鳥,European Starling,0449.avif,0449_UR.avif
450,北椋鳥,Daurian Starling,0450.avif,0450_UR.avif
451,紫背椋鳥,Chestnut-Cheeked Starling,0451.avif,0451_UR.avif
452,Chestnut-tailed starling,Chestnut-Tailed Starling,0452.avif,0452_UR.avif
453,絲光椋鳥,Red-Billed Starling,0453.avif,0453_UR.avif
454,灰椋鳥,White-Cheeked Starling,0454.avif,0454_UR.avif
455,家八哥,Common Myna,0455.avif,0455_UR.avif
456,White's thrush,Zoothera Aurea,0456.avif,0456_UR.avif
457,虎斑地鶇,Scaly Thrush,0457.avif,0457_UR.avif
458,白眉地鶇,Siberian Thrush,0458.avif,0458_UR.avif
459,橙頭地鶇,Orange-Headed Thrush,0459.avif,0459_UR.avif
460,寶興歌鶇,Chinese Thrush,0460.avif,0460_UR.avif
461,烏鶇,Eurasian Blackbird,0461.avif,0461_UR.avif
462,Chinese blackbird,Chinese Blackbird,0462.avif,0462_UR.avif
463,烏灰鶇,Japanese Thrush,0463.avif,0463_UR.avif
