ID,中文名,英文名,預計圖片檔名,異圖檔名建議(放R2)
56,斑頭秋沙鴨,Smew,0056.avif,0056_UR.avif
57,紅胸秋沙鴨,Red-Breasted Merganser,0057.avif,0057_UR.avif
58,Scaly-sided merganser,Scaly-Sided Merganser,0058.avif,0058_UR.avif
59,Chinese bamboo-partridge,Chinese Bamboo-Partridge,0059.avif,0059_UR.avif
60,中華鷓鴣,Chinese Francolin,0060.avif,0060_UR.avif
61,鵪鶉,Japanese Quail,0061.avif,0061_UR.avif
62,小鸊鷉,Little Grebe,0062.avif,0062_UR.avif
63,角鸊鷉,Horned Grebe,0063.avif,0063_UR.avif
64,鳳頭鸊鷉,Great Crested Grebe,0064.avif,0064_UR.avif
65,黑頸鸊鷉,Eared Grebe,0065.avif,0065_UR.avif
66,山斑鳩,Oriental Turtle-Dove,0066.avif,0066_UR.avif
67,灰斑鳩,Eurasian Collared-Dove,0067.avif,0067_UR.avif
68,火斑鳩,Red Collared-Dove,0068.avif,0068_UR.avif
69,斑尾鵑鳩,Barred Cuckoo-Dove,0069.avif,0069_UR.avif
70,綠翅金鳩,Asian Emerald Dove,0070.avif,0070_UR.avif
71,橙胸綠鳩,Orange-Breasted Green-Pigeon,0071.avif,0071_UR.avif
72,厚嘴綠鳩,Thick-Billed Green-Pigeon,0072.avif,0072_UR.avif
73,Wedge-tailed green-pigeon,Wedge-Tailed Green-Pigeon,0073.avif,0073_UR.avif
74,紅翅綠鳩,White-Bellied Green-Pigeon,0074.avif,0074_UR.avif
75,灰樹鵲,Whistling Green-Pigeon,0075.avif,0075_UR.avif
76,褐翅鴉鵑,Greater Coucal,0076.avif,0076_UR.avif
77,小鴉鵑,Lesser Coucal,0077.avif,0077_UR.avif
78,紅翅鳳頭鵑,Chestnut-Winged Cuckoo,0078.avif,0078_UR.avif
79,八聲杜鵑,Plaintive Cuckoo,0079.avif,0079_UR.avif
80,烏鵑,Square-Tailed Drongo-Cuckoo,0080.avif,0080_UR.avif
81,鷹鵑,Large Hawk-Cuckoo,0081.avif,0081_UR.avif
82,北鷹鵑,Northern Hawk-Cuckoo,0082.avif,0082_UR.avif
83,棕腹杜鵑,Hierococcyx Nisicolor,0083.avif,0083_UR.avif
84,Malaysian hawk-cuckoo,Malaysian Hawk-Cuckoo,0084.avif,0084_UR.avif
85,小杜鵑,Lesser Cuckoo,0085.avif,0085_UR.avif
86,四聲杜鵑,Indian Cuckoo,0086.avif,0086_UR.avif
87,大杜鵑,Common Cuckoo,0087.avif,0087_UR.avif
88,中杜鵑,Oriental Cuckoo,0088.avif,0088_UR.avif
89,普通夜鷹,Gray Nightjar,0089.avif,0089_UR.avif
90,林夜鷹,Savanna Nightjar,0090.avif,0090_UR.avif
91,白喉針尾雨燕,White-Throated Needletail,0091.avif,0091_UR.avif
92,白背針尾雨燕,Silver-Backed Needletail,0092.avif,0092_UR.avif
93,褐背針尾雨燕,Brown-Backed Needletail,0093.avif,0093_UR.avif
94,短嘴金絲燕,Himalayan Swiftlet,0094.avif,0094_UR.avif
95,樓燕,Common Swift,0095.avif,0095_UR.avif
96,雨燕,Pacific Swift,0096.avif,0096_UR.avif
97,草原鵰,House Swift,0097.avif,0097_UR.avif
98,普通秧雞,Water Rail,0098.avif,0098_UR.avif
99,灰面鷲,Brown-Cheeked Rail,0099.avif,0099_UR.avif
100,黑水雞,Eurasian Moorhen,0100.avif,0100_UR.avif
