SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Elliotomyia viridicauda,Green-and-white Hummingbird,gawhum1,species,5187.0,GAWH,ELVI,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Polyerata rosenbergi,Purple-chested Hummingbird,puchum1,species,5189.0,PCHU,PORO,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Polyerata amabilis,Blue-chested Hummingbird,blchum1,species,5190.0,BCHU,POAM,BCHH,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Polyerata decora,Charming Hummingbird,chahum1,species,5191.0,,PODE,CHHU,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Chlorestes candida,White-bellied Emerald,whbeme1,species,5192.0,,CHCA,WBEM,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Chlorestes eliciae,Blue-throated Goldentail,bltgol1,species,5196.0,BTGO BTSA,CHEL,BTRG,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Chlorestes cyanus,White-chinned Sapphire,whcsap1,species,5199.0,WCSA,CHCY,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Chlorestes julie,Violet-bellied Hummingbird,vibhum1,species,5205.0,,CHJU,VBHU,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Chlorestes notata,Blue-chinned Sapphire,bucsap1,species,5209.0,BCSA BCEM,CHNO,,Apodiformes,Hummingbirds,Trochilidae,,,,trochi1
Mentocrex kioloides,Madagascar Forest Rail,madwor1,species,5216.0,MFRA,MEKI,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Mentocrex beankaensis,Tsingy Forest Rail,tsiwor1,species,5219.0,TFRA,MEBE,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura pulchra,White-spotted Flufftail,whsflu1,species,5220.0,WSFL,SAPU,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura elegans,Buff-spotted Flufftail,busflu1,species,5226.0,BSFL,SAEL,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura rufa,Red-chested Flufftail,recflu1,species,5229.0,RCFL,SARU,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura lugens,Chestnut-headed Flufftail,chhflu1,species,5233.0,CHFL,SALU,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura boehmi,Streaky-breasted Flufftail,stbflu1,species,5236.0,SBFL,SABO,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura affinis,Striped Flufftail,strflu1,species,5237.0,STFL,SAAF,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura insularis,Madagascar Flufftail,madflu1,species,5240.0,MAFL,SAIN,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura ayresi,White-winged Flufftail,whwflu1,species,5241.0,WWFL,SAAY,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Sarothrura watersi,Slender-billed Flufftail,slbflu1,species,5242.0,SBFL,SAWA,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Rallicula rubra,Chestnut Forest Rail,chfrai1,species,5244.0,CFRA,RARU,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Rallicula leucospila,White-striped Forest Rail,wsfrai1,species,5247.0,WSFR,RALE,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Rallicula forbesi,Forbes's Forest Rail,forrai1,species,5248.0,FFRA,RAFO,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Rallicula mayri,Mayr's Forest Rail,mayrai1,species,5252.0,MFRA,RAMA,,Gruiformes,Flufftails,Sarothruridae,,,,saroth1
Rallus obsoletus,Ridgway's Rail,ridrai1,species,5256.0,,RAOB,RIRA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus tenuirostris,Aztec Rail,kinrai2,species,5261.0,MERA,RATE,AZRA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus longirostris,Mangrove Rail,manrai1,species,5262.0,,RALO,MARA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus elegans,King Rail,kinrai4,species,5272.0,,RAEL,KIRA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus crepitans,Clapper Rail,clarai11,species,5276.0,,RACR,CLRA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus wetmorei,Plain-flanked Rail,plfrai1,species,5296.0,PFRA,RAWE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus limicola,Virginia Rail,virrai,species,5297.0,,RALI,VIRA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus aequatorialis,Ecuadorian Rail,virrai1,species,5300.0,ECRA VIRA,RAAE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus semiplumbeus,Bogota Rail,bograi1,species,5304.0,BORA,RASE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus antarcticus,Austral Rail,ausrai1,species,5307.0,AURA,RAAN,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus aquaticus,Water Rail,watrai1,species,5308.0,WARA WWRA,RAAQ,WEWR,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus indicus,Brown-cheeked Rail,bncrai1,species,5312.0,EWRA BCRA,RAIN,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus caerulescens,African Rail,afrrai1,species,5314.0,AFRA AWRA,RACA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallus madagascariensis,Madagascar Rail,madrai1,species,5315.0,MARA,RAMA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Dryolimnas cuvieri,White-throated Rail,whtrai1,species,5317.0,WTRA,DRCU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Dryolimnas augusti,Reunion Rail,reurai1,species,5321.0,RERA,DRAU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1674,rallid1
Aphanapteryx bonasia,Red Rail,redrai1,species,5322.0,RERA,APBO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1700,rallid1
Erythromachus leguati,Rodrigues Rail,rodrai1,species,5323.0,RORA,ERLE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1726,rallid1
Crex crex,Corn Crake,corcra,species,5324.0,COCR CORN,CRCR,CORC,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Crecopsis egregia,African Crake,afrcra1,species,5325.0,AFCR,CREG,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rougetius rougetii,Rouget's Rail,rourai1,species,5326.0,RORA,RORO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aphanocrex podarces,St. Helena Rail,sthcra1,species,5327.0,SHRA SHCR,APPO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1502,rallid1
Mundia elpenor,Ascension Crake,asccra1,species,5328.0,ASCR,MUEL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1815,rallid1
Aramidopsis plateni,Snoring Rail,plarai1,species,5329.0,SNRA,ARPL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Lewinia striata,Slaty-breasted Rail,slbrai1,species,5330.0,SBRA,LEST,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Lewinia mirifica,Luzon Rail,luzrai1,species,5338.0,BBRA LURA,LEMI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Lewinia pectoralis,Lewin's Rail,lewrai1,species,5339.0,LERA,LEPE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Lewinia muelleri,Auckland Islands Rail,auirai1,species,5348.0,AURA AIRA,LEMU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gymnocrex rosenbergii,Blue-faced Rail,bafrai2,species,5349.0,BFRA,GYRO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gymnocrex plumbeiventris,Bare-eyed Rail,baerai1,species,5350.0,BERA,GYPL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gymnocrex talaudensis,Talaud Rail,talrai1,species,5353.0,TARA,GYTA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Diaphorapteryx hawkinsi,Hawkins's Rail,hawrai1,species,5354.0,HARA,DIHA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1895,rallid1
Gallirallus calayanensis,Calayan Rail,calrai1,species,5355.0,CARA,GACA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus wallacii,Invisible Rail,invrai1,species,5356.0,DRRA INRA,GAWA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus castaneoventris,Chestnut Rail,cherai1,species,5357.0,CHRA,GACA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus australis,Weka,weka1,species,5360.0,WEKA,GAAU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus lafresnayanus,New Caledonian Rail,necrai1,species,5365.0,NCRA,GALA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus sylvestris,Lord Howe Rail,lohrai1,species,5366.0,LHRA LHWO,GASY,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus okinawae,Okinawa Rail,okirai1,species,5367.0,OKRA,GAOK,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus pacificus,Tahiti Rail,tahrai1,species,5368.0,TARA,GAPA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1800,rallid1
Gallirallus philippensis,Buff-banded Rail,bubrai1,species,5369.0,BBRA BARA,GAPH,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus modestus,Chatham Islands Rail,chirai1,species,5391.0,CIRA CHRA,GAMO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1900,rallid1
Gallirallus dieffenbachii,Dieffenbach's Rail,dierai1,species,5392.0,DIRA,GADI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1900,rallid1
Gallirallus insignis,New Britain Rail,nebrai1,species,5393.0,PLRA NBRA,GAIN,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus woodfordi,Woodford's Rail,woorai1,species,5394.0,GIRA WORA,GAWO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus poecilopterus,Bar-winged Rail,bawrai1,species,5398.0,BWRA,GAPO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1973,rallid1
Gallirallus owstoni,Guam Rail,guarai1,species,5399.0,GURA,GAOW,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus wakensis,Wake Island Rail,wairai1,species,5400.0,WIRA WARA,GAWA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1944,rallid1
Gallirallus torquatus,Barred Rail,barrai1,species,5401.0,BARA,GATO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallirallus rovianae,Roviana Rail,rovrai1,species,5407.0,RORA,GARO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Canirallus oculeus,Gray-throated Rail,gytrai1,species,5408.0,GTRA,CAOC,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Pardirallus maculatus,Spotted Rail,sporai,species,5409.0,,PAMA,SPRA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Pardirallus nigricans,Blackish Rail,blarai1,species,5412.0,BLRA,PANI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Pardirallus sanguinolentus,Plumbeous Rail,plurai1,species,5415.0,PLRA,PASA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Mustelirallus albicollis,Ash-throated Crake,astcra1,species,5422.0,ATCR,MUAL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Mustelirallus cerverai,Zapata Rail,zaprai1,species,5425.0,,MUCE,ZARA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Mustelirallus colombianus,Colombian Crake,colcra2,species,5426.0,COCR,MUCO,COLC,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Mustelirallus erythrops,Paint-billed Crake,pabcra,species,5429.0,,MUER,PBCR,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Amaurolimnas concolor,Uniform Crake,unicra1,species,5432.0,UNCR,AMCO,UNIC,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aramides ypecaha,Giant Wood-Rail,giwrai1,species,5436.0,GIWR GWRA,ARYP,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aramides wolfi,Brown Wood-Rail,brwrai1,species,5437.0,BRWR BWRA,ARWO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aramides mangle,Little Wood-Rail,liwrai1,species,5438.0,LWRA LIWR,ARMA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aramides axillaris,Rufous-necked Wood-Rail,rnwrai1,species,5439.0,,ARAX,RNWR,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aramides albiventris,Russet-naped Wood-Rail,runwor1,species,5440.0,RNWR,ARAL,RSWR,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aramides cajaneus,Gray-cowled Wood-Rail,gycwor1,species,5441.0,,ARCA,GCWR,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aramides calopterus,Red-winged Wood-Rail,rwwrai1,species,5445.0,RWWR,ARCA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aramides saracura,Slaty-breasted Wood-Rail,sbwrai1,species,5446.0,SBWR,ARSA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Tribonyx ventralis,Black-tailed Nativehen,btnhen1,species,5448.0,BTNA BTNH,TRVE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Tribonyx hodgenorum,Hodgen's Waterhen,hodwat1,species,5449.0,HOWA,TRHO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1700,rallid1
Tribonyx mortierii,Tasmanian Nativehen,tanhen1,species,5450.0,TNHE TANH TANA,TRMO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyriops melanops,Spot-flanked Gallinule,spfgal1,species,5451.0,SFGA,POME,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porzana carolina,Sora,sora,species,5455.0,,POCA,SORA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porzana porzana,Spotted Crake,spocra1,species,5456.0,,POPO,SPCR,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porzana fluminea,Australian Crake,auscra1,species,5457.0,AUCR ASCR,POFL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Paragallinula angulata,Lesser Moorhen,lesmoo1,species,5458.0,LEMO,PAAN,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallinula silvestris,Makira Moorhen,sacmoo1,species,5459.0,MAMO MAWO,GASI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallinula nesiotis,Tristan Moorhen,trimoo2,species,5460.0,TRMO,GANE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1900,rallid1
Gallinula comeri,Gough Moorhen,trimoo3,species,5461.0,GIMO GOMO,GACO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallinula chloropus,Eurasian Moorhen,commoo3,species,5462.0,EUMO,GACH,COMO,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallinula galeata,Common Gallinule,comgal1,species,5468.0,AMMO,GAGA,COGA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallinula tenebrosa,Dusky Moorhen,dusmoo1,species,5478.0,DUMO,GATE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallinula pacifica,Samoan Moorhen,sammoo1,species,5482.0,SAWO SAMO,GAPA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1873,rallid1
Fulica rufifrons,Red-fronted Coot,refcoo1,species,5483.0,RFCO,FURU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica cornuta,Horned Coot,horcoo1,species,5484.0,HOCO,FUCO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica gigantea,Giant Coot,giacoo1,species,5485.0,GICO,FUGI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica armillata,Red-gartered Coot,regcoo1,species,5486.0,RGCO,FUAR,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica atra,Eurasian Coot,eurcoo,species,5487.0,,FUAT,EUCO,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica newtonii,Mascarene Coot,mascoo1,species,5493.0,MACO,FUNE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1693,rallid1
Fulica cristata,Red-knobbed Coot,rekcoo1,species,5494.0,RKCO,FUCR,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica alai,Hawaiian Coot,hawcoo,species,5497.0,,FUAL,HACO,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica americana,American Coot,y00475,species,5500.0,,FUAM,AMCO,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica ardesiaca,Slate-colored Coot,slccoo1,species,5506.0,SCCO ANCO,FUAR,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Fulica leucoptera,White-winged Coot,whwcoo1,species,5512.0,WWCO,FULE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio alleni,Allen's Gallinule,allgal1,species,5514.0,ALGA,POAL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio martinica,Purple Gallinule,purgal2,species,5515.0,,POMA,PUGA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio flavirostris,Azure Gallinule,azugal1,species,5516.0,,POFL,AZGA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio paepae,Marquesan Swamphen,marswa1,species,5517.0,MASW,POPA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1937,rallid1
Porphyrio kukwiedei,New Caledonian Gallinule,necgal1,species,5518.0,NCGA,POKU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1860,rallid1
Porphyrio caerulescens,Reunion Gallinule,reugal1,species,5519.0,REGA,POCA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1724,rallid1
Porphyrio porphyrio,Western Swamphen,purswa1,species,5520.0,WESW,POPO,PUSW,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio indicus,Black-backed Swamphen,purswa4,species,5521.0,BBSW,POIN,PUSW,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio madagascariensis,African Swamphen,purswa2,species,5522.0,AFRI AFSW,POMA,PUSW,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio hochstetteri,South Island Takahe,takahe3,species,5523.0,SITA,POHO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio mantelli,North Island Takahe,takahe2,species,5524.0,NITA,POMA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1894,rallid1
Porphyrio melanotus,Australasian Swamphen,purswa6,species,5525.0,AUSW PUKE,POME,PUSW,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio pulverulentus,Philippine Swamphen,purswa5,species,5531.0,PHSW,POPU,PUSW,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Porphyrio albus,Lord Howe Swamphen,lohswa1,species,5532.0,WHSW LHSW,POAL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1834,rallid1
Porphyrio poliocephalus,Gray-headed Swamphen,purswa3,species,5533.0,GHSW,POPO,PUSW,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Himantornis haematopus,Nkulengu Rail,nkurai1,species,5544.0,NKRA,HIHA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Poliolimnas cinereus,White-browed Crake,whbcra1,species,5545.0,WBCR,POCI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Megacrex inepta,New Guinea Flightless Rail,ngfrai1,species,5546.0,NGFR,MEIN,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Gallicrex cinerea,Watercock,waterc1,species,5549.0,WATE,GACI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Amaurornis isabellina,Isabelline Bush-hen,isabuh1,species,5550.0,IBHE ISBH,AMIS,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Amaurornis olivacea,Plain Bush-hen,plabuh1,species,5551.0,PBHE PLBH PHBH,AMOL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Amaurornis phoenicurus,White-breasted Waterhen,whbwat1,species,5552.0,WBWA,AMPH,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Amaurornis magnirostris,Talaud Bush-hen,talbuh1,species,5558.0,TABH TBHE,AMMA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Amaurornis moluccana,Pale-vented Bush-hen,rutbuh1,species,5559.0,PVBH,AMMO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Aenigmatolimnas marginalis,Striped Crake,strcra1,species,5564.0,STCR,AEMA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallina tricolor,Red-necked Crake,rencra1,species,5565.0,RNCR,RATR,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallina canningi,Andaman Crake,andcra1,species,5566.0,ANCR,RACA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallina fasciata,Red-legged Crake,relcra1,species,5568.0,RLCR,RAFA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rallina eurizonoides,Slaty-legged Crake,sllcra1,species,5569.0,SLCR,RAEU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia fusca,Ruddy-breasted Crake,rubcra1,species,5578.0,RBCR,ZAFU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia paykullii,Band-bellied Crake,babcra1,species,5583.0,BBCR,ZAPA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia akool,Brown Crake,brocra1,species,5584.0,BRCR,ZAAK,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia flavirostra,Black Crake,blacra1,species,5587.0,BLCR,ZAFL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia parva,Little Crake,litcra1,species,5588.0,LICR,ZAPA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia pusilla,Baillon's Crake,baicra1,species,5589.0,MACR BACR,ZAPU,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia astrictocarpus,St. Helena Crake,sthrai1,species,5599.0,SHCR SHRA,ZAAS,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1502,rallid1
Zapornia palmeri,Laysan Rail,layrai,species,5600.0,,ZAPA,LARA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1944,rallid1
Zapornia olivieri,Sakalava Rail,sakrai1,species,5601.0,SARA,ZAOL,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia bicolor,Black-tailed Crake,bltcra1,species,5602.0,BTCR,ZABI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia sandwichensis,Hawaiian Rail,hawrai,species,5603.0,,ZASA,HARA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1844,rallid1
Zapornia nigra,Miller's Rail,milrai1,species,5604.0,TACR MIRA,ZANI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1784,rallid1
Zapornia atra,Henderson Island Crake,heicra1,species,5605.0,HECR HICR,ZAAT,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia tabuensis,Spotless Crake,spocra2,species,5606.0,SPCR,ZATA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Zapornia monasa,Kosrae Crake,koscra1,species,5611.0,KOCR,ZAMO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,true,1828,rallid1
Rufirallus schomburgkii,Ocellated Crake,ocecra1,species,5613.0,,RUSC,OCCR,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rufirallus viridis,Russet-crowned Crake,ruccra1,species,5616.0,RCCR,RUVI,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rufirallus fasciatus,Black-banded Crake,blbcra1,species,5619.0,BBCR,RUFA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rufirallus leucopyrrhus,Red-and-white Crake,rawcra1,species,5620.0,RAWC,RULE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Rufirallus xenopterus,Rufous-faced Crake,rufcra1,species,5621.0,RFCR,RUXE,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Anurolimnas castaneiceps,Chestnut-headed Crake,chhcra1,species,5622.0,CHCR,ANCA,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Coturnicops exquisitus,Swinhoe's Rail,swirai1,species,5625.0,SWRA,COEX,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Coturnicops noveboracensis,Yellow Rail,yelrai,species,5626.0,,CONO,YERA,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Laterallus rogersi,Inaccessible Island Rail,inirai1,species,5629.0,IIRA,LARO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
Laterallus notatus,Speckled Rail,sperai1,species,5630.0,SPRA,LANO,,Gruiformes,"Rails, Gallinules, and Coots",Rallidae,,,,rallid1
